ratio,model,min_n,points,r_inf,stderr
R22,1/log(n),256,5,2.075939811330594,0.01452175510671153
R22,1/log(n)+1/log(n)^2,256,5,1.9204172382622076,0.09115178082228968
R22,1/sqrt(log(n)),256,5,2.2016281050802617,0.03328801233956773
R22,1/log(n)^2,256,5,2.013067353845546,0.005513482121718499
R22,1/log(n),512,4,2.053567636075657,0.008162256935028969
R22,1/log(n)+1/log(n)^2,512,4,2.104771447142889,0.11906471243977697
R22,1/sqrt(log(n)),512,4,2.150584102105966,0.01546845914844052
R22,1/log(n)^2,512,4,2.0050787938761867,0.00481281404432982
R44_self,1/log(n),256,5,1.6392601102828877,0.007751169372120245
R44_self,1/log(n)+1/log(n)^2,256,5,1.5827759923726992,0.06777054817259286
R44_self,1/sqrt(log(n)),256,5,1.6657793717006633,0.016332925375074425
R44_self,1/log(n)^2,256,5,1.6259870395042872,0.0035905370310245475
R44_self,1/log(n),512,4,1.6381862808635903,0.013515575163275015
R44_self,1/log(n)+1/log(n)^2,512,4,1.4218667247943901,0.035519865071663416
R44_self,1/sqrt(log(n)),512,4,1.6617342666782258,0.02805629334127332
R44_self,1/log(n)^2,512,4,1.6264096293333683,0.0063085114387769065
R44_cross,1/log(n),256,5,1.8203019470627932,0.008629751345780472
R44_cross,1/log(n)+1/log(n)^2,256,5,1.7080614382872494,0.033796890881227996
R44_cross,1/sqrt(log(n)),256,5,1.8917727890228555,0.020025286999668643
R44_cross,1/log(n)^2,256,5,1.7845621834944387,0.00311158410500655
R44_cross,1/log(n),512,4,1.8100343783037969,0.011112034131562127
R44_cross,1/log(n)+1/log(n)^2,512,4,1.638027994988289,0.04909142301707629
R44_cross,1/sqrt(log(n)),512,4,1.8669081464390758,0.024157392259377092
R44_cross,1/log(n)^2,512,4,1.7816061739218987,0.0046475817654829865
