ratio,model,min_n,points,r_inf,stderr
R22,1/log(n),256,6,2.081938150737556,0.017212221611298442
R22,1/log(n)+1/log(n)^2,256,6,2.014447425247969,0.14732897466534867
R22,1/sqrt(log(n)),256,6,2.2133266886135146,0.036349096758815806
R22,1/log(n)^2,256,6,2.0162186387227803,0.008083493784469565
R22,1/log(n),512,5,2.064557991488469,0.022588041554923926
R22,1/log(n)+1/log(n)^2,512,5,2.2803635810958793,0.23950368918751958
R22,1/sqrt(log(n)),512,5,2.1724344598145344,0.043971279128172655
R22,1/log(n)^2,512,5,2.0106458185118727,0.012010714637418712
R44_self,1/log(n),256,6,1.6404183057242154,0.007059090354380126
R44_self,1/log(n)+1/log(n)^2,256,6,1.6038956088109002,0.061394933813333136
R44_self,1/sqrt(log(n)),256,6,1.6680511186631066,0.014702899874958753
R44_self,1/log(n)^2,256,6,1.6265934528866057,0.0033537253086449283
R44_self,1/log(n),512,5,1.6401699495304487,0.011528160587897874
R44_self,1/log(n)+1/log(n)^2,512,5,1.4986835958468436,0.11227705958696754
R44_self,1/sqrt(log(n)),512,5,1.6657115581461281,0.023740063347860836
R44_self,1/log(n)^2,512,5,1.6274029004406536,0.005479627224850073
R44_cross,1/log(n),256,6,1.823086003656921,0.009105116216302566
R44_cross,1/log(n)+1/log(n)^2,256,6,1.7577977067704118,0.07274612880023043
R44_cross,1/sqrt(log(n)),256,6,1.8970891956005027,0.01974431480181396
R44_cross,1/log(n)^2,256,6,1.786081404579263,0.004061409361149669
R44_cross,1/log(n),512,5,1.815338277896726,0.013375271000852715
R44_cross,1/log(n)+1/log(n)^2,512,5,1.767555224096174,0.16735681880119171
R44_cross,1/sqrt(log(n)),512,5,1.877388022089323,0.027317973225058835
R44_cross,1/log(n)^2,512,5,1.7843272884276655,0.006514977275467131
